City,Period,Temperature,Status
JAGUARUANA,2022-01,28.0,Perfect
JAGUARUANA,2022-02,28.0,Perfect
JAGUARUANA,2022-03,27.0,Perfect
JAGUARUANA,2022-04,27.0,Perfect
JAGUARUANA,2022-05,26.0,Perfect
JAGUARUANA,2022-06,26.0,Perfect
JAGUARUANA,2022-07,27.0,Perfect
JAGUARUANA,2022-08,27.0,Perfect
JAGUARUANA,2022-09,27.0,Perfect
JAGUARUANA,2022-10,27.0,Perfect
JAGUARUANA,2022-11,27.0,Perfect
JAGUARUANA,2022-12,27.0,Perfect
JAGUARUANA,2023-01,28.0,Perfect
JAGUARUANA,2023-02,28.0,Perfect
JAGUARUANA,2023-03,28.0,Perfect
JAGUARUANA,2023-04,28.0,Perfect
JAGUARUANA,2023-05,28.0,Perfect
JAGUARUANA,2023-06,28.0,Perfect
JAGUARUANA,2023-07,28.0,Perfect
JAGUARUANA,2023-08,28.0,Perfect
JAGUARUANA,2023-09,28.0,Perfect
JAGUARUANA,2023-10,28.0,Perfect
JAGUARUANA,2023-11,29.0,Perfect
JAGUARUANA,2023-12,29.0,Perfect
MORADA NOVA,2019-01,28.0,Perfect
MORADA NOVA,2019-02,27.0,Perfect
MORADA NOVA,2019-03,27.0,Perfect
MORADA NOVA,2019-04,27.0,Perfect
MORADA NOVA,2019-05,27.0,Perfect
MORADA NOVA,2019-06,27.0,Perfect
MORADA NOVA,2019-07,27.0,Perfect
MORADA NOVA,2019-08,27.0,Perfect
MORADA NOVA,2019-09,28.0,Perfect
MORADA NOVA,2019-10,28.0,Perfect
MORADA NOVA,2019-11,29.0,Perfect
MORADA NOVA,2019-12,29.0,Perfect
MORADA NOVA,2020-01,28.0,Perfect
MORADA NOVA,2020-02,28.0,Perfect
MORADA NOVA,2020-03,27.0,Perfect
MORADA NOVA,2020-04,27.0,Perfect
MORADA NOVA,2020-05,27.0,Perfect
MORADA NOVA,2020-06,26.0,Perfect
MORADA NOVA,2020-07,26.0,Perfect
MORADA NOVA,2020-08,27.0,Perfect
MORADA NOVA,2020-09,28.0,Perfect
MORADA NOVA,2020-10,29.0,Perfect
MORADA NOVA,2020-11,29.0,Perfect
MORADA NOVA,2020-12,29.0,Perfect
MORADA NOVA,2021-01,29.0,Perfect
MORADA NOVA,2021-02,29.0,Perfect
MORADA NOVA,2021-03,27.0,Perfect
MORADA NOVA,2021-04,27.0,Perfect
MORADA NOVA,2021-05,26.0,Perfect
MORADA NOVA,2021-06,27.0,Perfect
MORADA NOVA,2021-07,28.0,Perfect
MORADA NOVA,2021-08,29.0,Perfect
MORADA NOVA,2021-09,29.0,Perfect
MORADA NOVA,2021-10,30.0,Perfect
MORADA NOVA,2021-11,30.0,Perfect
MORADA NOVA,2021-12,30.0,Perfect
MORADA NOVA,2022-01,27.0,Perfect
MORADA NOVA,2022-02,28.0,Perfect
MORADA NOVA,2022-03,27.0,Perfect
MORADA NOVA,2022-04,27.0,Perfect
MORADA NOVA,2022-05,26.0,Perfect
MORADA NOVA,2022-06,25.0,Perfect
MORADA NOVA,2022-07,26.0,Perfect
MORADA NOVA,2022-08,26.0,Perfect
MORADA NOVA,2022-09,28.0,Perfect
MORADA NOVA,2022-10,29.0,Perfect
MORADA NOVA,2022-11,28.0,Perfect
MORADA NOVA,2022-12,28.0,Perfect
MORADA NOVA,2023-01,28.0,Perfect
MORADA NOVA,2023-02,28.0,Perfect
MORADA NOVA,2023-03,27.0,Perfect
MORADA NOVA,2023-04,27.0,Perfect
MORADA NOVA,2023-05,28.0,Perfect
MORADA NOVA,2023-06,27.0,Perfect
MORADA NOVA,2023-07,27.0,Perfect
MORADA NOVA,2023-08,28.0,Perfect
MORADA NOVA,2023-09,29.0,Perfect
MORADA NOVA,2023-10,29.0,Perfect
MORADA NOVA,2023-11,29.0,Perfect
MORADA NOVA,2023-12,29.0,Perfect
QUIXADA,2019-01,27.0,Perfect
QUIXADA,2019-02,27.0,Perfect
QUIXADA,2019-03,26.0,Perfect
QUIXADA,2019-04,26.0,Perfect
QUIXADA,2019-05,26.0,Perfect
QUIXADA,2019-06,27.0,Perfect
QUIXADA,2019-07,27.0,Perfect
QUIXADA,2019-08,27.0,Perfect
QUIXADA,2019-09,28.0,Perfect
QUIXADA,2019-10,29.0,Perfect
QUIXADA,2019-11,30.0,Perfect
QUIXADA,2019-12,29.0,Perfect
QUIXADA,2022-01,28.0,Perfect
QUIXADA,2022-02,28.0,Perfect
QUIXADA,2022-03,28.0,Perfect
QUIXADA,2022-04,28.0,Perfect
QUIXADA,2022-05,28.0,Perfect
QUIXADA,2022-06,28.0,Perfect
QUIXADA,2022-07,28.0,Perfect
QUIXADA,2022-08,27.0,Perfect
QUIXADA,2022-09,28.0,Perfect
QUIXADA,2022-10,28.0,Perfect
QUIXADA,2022-11,28.0,Perfect
QUIXADA,2022-12,28.0,Perfect
QUIXADA,2023-01,27.0,Perfect
QUIXADA,2023-02,27.0,Perfect
QUIXADA,2023-03,26.0,Perfect
QUIXADA,2023-04,26.0,Perfect
QUIXADA,2023-05,27.0,Perfect
QUIXADA,2023-06,27.0,Perfect
QUIXADA,2023-07,27.0,Perfect
QUIXADA,2023-08,28.0,Perfect
QUIXADA,2023-09,28.0,Perfect
QUIXADA,2023-10,29.0,Perfect
QUIXADA,2023-11,29.0,Perfect
QUIXADA,2023-12,29.0,Perfect
QUIXERAMOBIM,2019-01,28.0,Perfect
QUIXERAMOBIM,2019-02,27.0,Perfect
QUIXERAMOBIM,2019-03,26.0,Perfect
QUIXERAMOBIM,2019-04,26.0,Perfect
QUIXERAMOBIM,2019-05,27.0,Perfect
QUIXERAMOBIM,2019-06,27.0,Perfect
QUIXERAMOBIM,2019-07,27.0,Perfect
QUIXERAMOBIM,2019-08,28.0,Perfect
QUIXERAMOBIM,2019-09,28.0,Perfect
QUIXERAMOBIM,2019-10,29.0,Perfect
QUIXERAMOBIM,2019-11,29.0,Perfect
QUIXERAMOBIM,2019-12,29.0,Perfect
QUIXERAMOBIM,2020-01,28.0,Perfect
QUIXERAMOBIM,2020-02,27.0,Perfect
QUIXERAMOBIM,2020-03,26.0,Perfect
QUIXERAMOBIM,2020-04,27.0,Perfect
QUIXERAMOBIM,2020-05,27.0,Perfect
QUIXERAMOBIM,2020-06,27.0,Perfect
QUIXERAMOBIM,2020-07,27.0,Perfect
QUIXERAMOBIM,2020-08,27.0,Perfect
QUIXERAMOBIM,2020-09,27.0,Perfect
QUIXERAMOBIM,2020-10,27.0,Perfect
QUIXERAMOBIM,2020-11,27.0,Perfect
QUIXERAMOBIM,2020-12,27.0,Perfect
QUIXERAMOBIM,2022-01,29.0,Perfect
QUIXERAMOBIM,2022-02,31.0,danger
QUIXERAMOBIM,2022-03,29.0,Perfect
QUIXERAMOBIM,2022-04,29.0,Perfect
QUIXERAMOBIM,2022-05,28.0,Perfect
QUIXERAMOBIM,2022-06,27.0,Perfect
QUIXERAMOBIM,2022-07,28.0,Perfect
QUIXERAMOBIM,2022-08,27.0,Perfect
QUIXERAMOBIM,2022-09,28.0,Perfect
QUIXERAMOBIM,2022-10,29.0,Perfect
QUIXERAMOBIM,2022-11,28.0,Perfect
QUIXERAMOBIM,2022-12,28.0,Perfect
